My ID,id,title,readyInMinutes,nutrition>caloricBreakdown>percentProtein,nutrition>caloricBreakdown>percentFat,nutrition>caloricBreakdown>percentCarbs,True,servings,image,sourceUrl,summary,aggregateLikes,spoonacularScore,winePairing>pairedWines,winePairing>pairingText
43822,43822,Spicy Potatoes Recipe,50,6.58,40.72,52.7,,6,https://spoonacular.com/recipeImages/43822-556x370.jpg,http://www.foodrepublic.com/2011/05/23/spicy-potatoes-recipe,"You can never have too many side dish recipes, so give Spicy Potatoes Recipe a try. One portion of this dish contains approximately <b>3g of protein</b>, <b>9g of fat</b>, and a total of <b>201 calories</b>. For <b>66 cents per serving</b>, this recipe <b>covers 9%</b> of your daily requirements of vitamins and minerals. This recipe serves 6. 12 people have made this recipe and would make it again. From preparation to the plate, this recipe takes around <b>50 minutes</b>. A mixture of bay leaves, saffron threads, onion, and a handful of other ingredients are all it takes to make this recipe so yummy. It is a good option if you're following a <b>gluten free, whole 30, and vegan</b> diet. With a spoonacular <b>score of 79%</b>, this dish is solid. Similar recipes include <a href=""https://spoonacular.com/recipes/spicy-margarita-recipe-80811"">Spicy Margarita Recipe</a>, <a href=""https://spoonacular.com/recipes/spicy-mint-tea-recipe-143106"">Spicy Mint Tea Recipe</a>, and <a href=""https://spoonacular.com/recipes/spicy-eggplant-recipe-23429"">Spicy Eggplant Recipe</a>.",12,77.0,,
114373,114373,Parmesan Rice Pilaf,30,8.94,31.91,59.15,,4,https://spoonacular.com/recipeImages/114373-556x370.jpg,http://www.food.com/recipe/parmesan-rice-pilaf-381124,"Parmesan Rice Pilaf might be just the side dish you are searching for. This recipe makes 4 servings with <b>265 calories</b>, <b>6g of protein</b>, and <b>9g of fat</b> each. For <b>89 cents per serving</b>, this recipe <b>covers 7%</b> of your daily requirements of vitamins and minerals. 1 person has tried and liked this recipe. It is a good option if you're following a <b>gluten free</b> diet. A mixture of almonds, rice, greated parmesan cheese, and a handful of other ingredients are all it takes to make this recipe so delicious. From preparation to the plate, this recipe takes roughly <b>30 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 23%</b>. This score is rather bad. Similar recipes are <a href=""https://spoonacular.com/recipes/parmesan-rice-pilaf-444383"">Parmesan Rice Pilaf</a>, <a href=""https://spoonacular.com/recipes/parmesan-rice-pilaf-36190"">Parmesan Rice Pilaf</a>, and <a href=""https://spoonacular.com/recipes/parmesan-pepper-rice-pilaf-114206"">Parmesan Pepper Rice Pilaf</a>.",0,20.0,[],
30414,30414,Gluten-free Moroccan Chicken With Cauliflower And Cashews,30,32.82,35.18,32.0,,4,https://spoonacular.com/recipeImages/30414-556x370.jpg,http://www.doctoroz.com/videos/gluten-free-moroccan-chicken-cauliflower-and-cashews,"Gluten-free Moroccan Chicken With Cauliflower And Cashews might be just the main course you are searching for. One portion of this dish contains roughly <b>42g of protein</b>, <b>20g of fat</b>, and a total of <b>510 calories</b>. This recipe serves 4. For <b>$3.36 per serving</b>, this recipe <b>covers 31%</b> of your daily requirements of vitamins and minerals. It is a good option if you're following a <b>gluten free and dairy free</b> diet. 65 people have made this recipe and would make it again. If you have olive oil, pomegranate molasses, cashews, and a few other ingredients on hand, you can make it. To use up the olive oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/sauteed-banana-granola-and-yogurt-parfait-624619"">Sauteed Banana, Granolan and Yogurt Parfait</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 92%</b>. This score is super. Similar recipes include <a href=""https://spoonacular.com/recipes/cinnamon-sugar-candied-cashews-gluten-free-cinnamon-sugar-candied-cashews-gluten-free-520575"">Cinnamon Sugar Candied Cashews (gluten-free) Cinnamon Sugar Candied Cashews (gluten-free)</a>, <a href=""https://spoonacular.com/recipes/moroccan-spiced-pumpkin-hummus-naturally-vegan-gluten-free-and-soy-free-248246"">Moroccan Spiced Pumpkin Hummus (Naturally Vegan, Gluten-Free, and Soy-Free)</a>, and <a href=""https://spoonacular.com/recipes/curry-chicken-with-cashews-and-cauliflower-508960"">Curry Chicken with Cashews and Cauliflower</a>.",65,91.0,,
26368,26368,Quick-Cooked Tomatillo-Chile Sauce,60,47.68,44.28,8.04,,1,https://spoonacular.com/recipeImages/26368-556x370.jpg,http://www.cookstr.com/recipes/quick-cooked-tomatillo-chile-sauce,"Quick-Cooked Tomatillo-Chile Sauce might be just the sauce you are searching for. This recipe serves 1 and costs 57 cents per serving. Watching your figure? This gluten free, dairy free, and whole 30 recipe has <b>171 calories</b>, <b>2g of protein</b>, and <b>15g of fat</b> per serving. 1 person found this recipe to be flavorful and satisfying. From preparation to the plate, this recipe takes around <b>1 hour</b>. A mixture of tomatillos, tomatillos, vegetable oil, and a handful of other ingredients are all it takes to make this recipe so yummy. With a spoonacular <b>score of 36%</b>, this dish is rather bad. Similar recipes are <a href=""https://spoonacular.com/recipes/chicken-with-tomatillo-and-red-chile-sauce-108088"">Chicken with Tomatillo and Red Chile Sauce</a>, <a href=""https://spoonacular.com/recipes/beef-tenderloin-filets-with-shiitakes-in-morita-chile-and-tomatillo-sauce-598634"">Beef Tenderloin Filets with Shiitakes in Morita Chile and Tomatillo Sauce</a>, and <a href=""https://spoonacular.com/recipes/grilled-chicken-with-creamy-green-chile-tomatillo-and-avocado-sauce-596305"">Grilled Chicken with Creamy Green Chile, Tomatillo and Avocado Sauce</a>.",0,60.0,,
54269,54269,Coconut Curry Popcorn,5,7.34,50.61,42.05,,4,https://spoonacular.com/recipeImages/54269-556x370.jpg,http://naturallyella.com/2012/02/13/coconut-curry-popcorn/,"Coconut Curry Popcorn might be just the hor d'oeuvre you are searching for. One serving contains <b>97 calories</b>, <b>2g of protein</b>, and <b>6g of fat</b>. This recipe serves 4 and costs 39 cents per serving. A mixture of coconut flakes, popcorn, curry powder, and a handful of other ingredients are all it takes to make this recipe so delicious. 21 person were impressed by this recipe. It is a <b>very affordable</b> recipe for fans of American food. It is a good option if you're following a <b>gluten free and vegan</b> diet. From preparation to the plate, this recipe takes approximately <b>5 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 42%</b>. This score is solid. Try <a href=""https://spoonacular.com/recipes/coconut-curry-popcorn-873131"">Coconut Curry Popcorn</a>, <a href=""https://spoonacular.com/recipes/coconut-curry-popcorn-seasoning-424126"">Coconut-Curry Popcorn Seasoning</a>, and <a href=""https://spoonacular.com/recipes/coconut-tiger-prawn-curry-thengai-konju-curry-491640"">Coconut Tiger Prawn Curry (Thengai Konju Curry)</a> for similar recipes.",21,39.0,"['sparkling rose', 'sparkling wine']","Sparkling rosé and Sparkling Wine are great choices for Popcorn. If you're serving a selection of appetizers, you can't go wrong with these. Both are very food friendly and complement a variety of flavors. You could try Moet & Chandon Grand Vintage Brut. Reviewers quite like it with a 4.3 out of 5 star rating and a price of about 70 dollars per bottle."
96996,96996,Dolmades - Stuffed Grape Leaves,105,18.66,53.89,27.45,,15,https://spoonacular.com/recipeImages/96996-556x370.jpg,http://www.food.com/recipe/dolmades-stuffed-grape-leaves-233134,"Dolmades - Stuffed Grape Leaves is a <b>gluten free and dairy free</b> hor d'oeuvre. This recipe serves 15 and costs $1.14 per serving. One serving contains <b>200 calories</b>, <b>10g of protein</b>, and <b>13g of fat</b>. This recipe is liked by 1 foodies and cooks. Head to the store and pick up allspice, rice, cinnamon, and a few other things to make it today. From preparation to the plate, this recipe takes roughly <b>1 hour and 45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 74%</b>. This score is good. Similar recipes include <a href=""https://spoonacular.com/recipes/dolmades-stuffed-grape-leaves-97241"">Dolmades (Stuffed Grape Leaves)</a>, <a href=""https://spoonacular.com/recipes/stuffed-grape-leaves-dolmades-97833"">Stuffed Grape Leaves (Dolmades)</a>, and <a href=""https://spoonacular.com/recipes/dolmades-stuffed-grape-leaves-98104"">Dolmades (Stuffed Grape Leaves)</a>.",1,83.0,,
65401,65401,Blueberry Muffins,12,7.03,28.02,64.95,,5,https://spoonacular.com/recipeImages/65401-556x370.jpg,http://www.cookingwithmykid.com/recipes/blueberry-muffins/,"Blueberry Muffins is a <b>vegetarian</b> morn meal. This recipe makes 5 servings with <b>739 calories</b>, <b>13g of protein</b>, and <b>23g of fat</b> each. For <b>$1.67 per serving</b>, this recipe <b>covers 19%</b> of your daily requirements of vitamins and minerals. 13 people have made this recipe and would make it again. From preparation to the plate, this recipe takes approximately <b>12 minutes</b>. Head to the store and pick up vanilan extract, baking powder, salt, and a few other things to make it today. All things considered, we decided this recipe <b>deserves a spoonacular score of 53%</b>. This score is good. Try <a href=""https://spoonacular.com/recipes/otis-spunkmeyer-blueberry-muffins-whats-better-than-fresh-blueberry-muffins-600451"">Otis Spunkmeyer Blueberry Muffins – what’s better than fresh blueberry muffins</a>, <a href=""https://spoonacular.com/recipes/amazingly-blueberry-ey-blueberry-muffins-510119"">Amazingly Blueberry-ey Blueberry Muffins</a>, and <a href=""https://spoonacular.com/recipes/magnolia-bakery-blueberry-muffins-make-muffins-just-like-they-do-in-the-bakery-600611"">Magnolia Bakery Blueberry Muffins – make muffins just like they do in the bakery</a> for similar recipes.",13,49.0,,
76585,76585,Mussels With Roasted Potatoes,52,14.65,35.2,50.15,,4,https://spoonacular.com/recipeImages/76585-556x370.jpg,http://www.epicurious.com/recipes/food/views/Mussels-with-Roasted-Potatoes-108086,"You can never have too many hor d'oeuvre recipes, so give Mussels With Roasted Potatoes a try. This recipe serves 4 and costs $2.17 per serving. One serving contains <b>508 calories</b>, <b>19g of protein</b>, and <b>24g of fat</b>. This recipe from Epicurious has 1 fans. Head to the store and pick up shallot, rounded pepper flakes, garlic cloves, and a few other things to make it today. To use up the kosher salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/low-fat-crumbs-cake-kosher-dairy-130933"">Low Fat Crumbs Cake (Kosher-Dairy)</a> as a dessert. From preparation to the plate, this recipe takes approximately <b>52 minutes</b>. It is a good option if you're following a <b>gluten free, dairy free, and pescatarian</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 82%</b>. This score is amazing. Similar recipes are <a href=""https://spoonacular.com/recipes/mussels-with-potatoes-and-red-pepper-356229"">Mussels With Potatoes and Red Pepper</a>, <a href=""https://spoonacular.com/recipes/mussels-with-potatoes-and-olives-302450"">Mussels With Potatoes and Olives</a>, and <a href=""https://spoonacular.com/recipes/mussels-with-rice-and-potatoes-44242"">Mussels With Rice And Potatoes</a>.",0,85.0,"['chardonnay', 'muscadet', 'riesling']","Shellfish on the menu? Try pairing with Chardonnay, Muscadet, and Riesling. Buttery chardonnay is great for scallops, shrimp, crab, and lobster, while muscadet is a classic pick for mussels, oysters, and clams. If you've got some spice in your shellfish, a semi-dry riesling can balance out the heat. You could try Souverain Chardonnay. Reviewers quite like it with a 4.1 out of 5 star rating and a price of about 14 dollars per bottle."
10571,10571,Brussel Sprouts With Vinegar Glazed Onions,45,5.06,77.71,17.23,,4,https://spoonacular.com/recipeImages/10571-556x370.jpg,http://www.thefoodieskitchen.com/2011/02/brussel-sprouts-with-vinegar-glazed-onions/,"Need a <b>gluten free, primal, and vegetarian side dish</b>? Brussel Sprouts With Vinegar Glazed Onions could be an excellent recipe to try. One portion of this dish contains roughly <b>3g of protein</b>, <b>19g of fat</b>, and a total of <b>212 calories</b>. This recipe serves 4. For <b>80 cents per serving</b>, this recipe <b>covers 13%</b> of your daily requirements of vitamins and minerals. This recipe from The Foodies' Kitchen has 1 fans. If you have butter, onion, salt and pepper, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes around <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 41%</b>. This score is good. Similar recipes include <a href=""https://spoonacular.com/recipes/brussels-sprouts-with-vinegar-glazed-red-onions-10536"">Brussels Sprouts With Vinegar-glazed Red Onions</a>, <a href=""https://spoonacular.com/recipes/roasted-brussel-sprouts-with-pancetta-and-balsamic-vinegar-497139"">Roasted Brussel Sprouts with Pancettan and Balsamic Vinegar</a>, and <a href=""https://spoonacular.com/recipes/cranberry-glazed-roasted-brussel-sprouts-550024"">Cranberry Glazed Roasted Brussel Sprouts</a>.",0,37.0,,
163912,163912,Bread Machine Cinnamon-Raisin Bread,220,1.71,29.4,68.89,,12,https://spoonacular.com/recipeImages/163912-556x370.jpg,https://www.bettycrocker.com/recipes/bread-machine-cinnamon-raisin-bread/b42228f5-4f6e-454a-9186-c67c0d7686c9,"This gluten free and vegetarian recipe serves 12 and costs <b>14 cents per serving</b>. One serving contains <b>59 calories</b>, <b>1g of protein</b>, and <b>2g of fat</b>. This recipe is liked by 1 foodies and cooks. Head to the store and pick up water, bread machine yeast, ground cinnamon, and a few other things to make it today. From preparation to the plate, this recipe takes approximately <b>3 hours and 40 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 13%</b>. This score is not so excellent. Try <a href=""https://spoonacular.com/recipes/gluten-free-cinnamon-raisin-bread-for-bread-machine-624925"">Gluten Free Cinnamon Raisin Bread for Bread Machine</a>, <a href=""https://spoonacular.com/recipes/cinnamon-sugar-bread-bread-machine-140683"">Cinnamon Sugar Bread, Bread Machine</a>, and <a href=""https://spoonacular.com/recipes/sweet-rum-raisin-yeast-rolls-mixed-in-a-bread-machine-622806"">Sweet Rum-Raisin Yeast Rolls (Mixed in a Bread Machine)</a> for similar recipes.",0,7.0,,
