My ID,id,title,readyInMinutes,nutrition>caloricBreakdown>percentProtein,nutrition>caloricBreakdown>percentFat,nutrition>caloricBreakdown>percentCarbs,True,servings,image,sourceUrl,summary,aggregateLikes,spoonacularScore,winePairing>pairedWines,winePairing>pairingText
177580,177580,Cinnamon Swirl Raisin Bread,190,6.06,44.64,49.3,,16,https://spoonacular.com/recipeImages/177580-556x370.jpg,http://www.bettycrocker.com/recipes/cinnamon-swirl-raisin-bread/781e99af-93e8-4853-9586-e802aefeefef,"Need a <b>vegetarian bread</b>? Cinnamon Swirl Raisin Bread could be a spectacular recipe to try. This recipe serves 16 and costs 31 cents per serving. One portion of this dish contains around <b>6g of protein</b>, <b>20g of fat</b>, and a total of <b>422 calories</b>. It is brought to you by Betty Crocker. If you have vegetable oil, ground cinnamon, vegetable oil, and a few other ingredients on hand, you can make it. This recipe is liked by 1 foodies and cooks. From preparation to the plate, this recipe takes around <b>3 hours and 10 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 24%</b>, which is rather bad. Try <a href=""https://spoonacular.com/recipes/cinnamon-raisin-swirl-bread-623400"">Cinnamon Raisin Swirl Bread</a>, <a href=""https://spoonacular.com/recipes/cinnamon-raisin-swirl-bread-714570"">Cinnamon Raisin Swirl Bread</a>, and <a href=""https://spoonacular.com/recipes/cinnamon-swirl-raisin-bread-427007"">Cinnamon-Swirl Raisin Bread</a> for similar recipes.",0,22.0,,
38156,38156,Frittata Of Wild Asparagus,5,25.05,70.69,4.26,,8,https://spoonacular.com/recipeImages/38156-556x370.jpg,http://www.elizabethminchilliinrome.com/2011/05/frittata-of-wild-asparagus.html,"Frittatan Of Wild Asparagus might be a good recipe to expand your morn meal repertoire. For <b>57 cents per serving</b>, this recipe <b>covers 6%</b> of your daily requirements of vitamins and minerals. This recipe makes 8 servings with <b>153 calories</b>, <b>9g of protein</b>, and <b>12g of fat</b> each. 22 people found this recipe to be scrumptious and satisfying. If you have salt & pepper, eggs, olive oil, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes approximately <b>5 minutes</b>. It is a good option if you're following a <b>gluten free, primal, and ketogenic</b> diet. It is brought to you by Elizabeth Minchilli in Rome. Taking all factors into account, this recipe <b>earns a spoonacular score of 31%</b>, which is rather bad. Try <a href=""https://spoonacular.com/recipes/mushroom-wild-rice-frittata-696806"">Mushroom & Wild Rice Frittata</a>, <a href=""https://spoonacular.com/recipes/wild-mushroom-and-goat-cheese-frittata-552284"">Wild Mushroom and Goat Cheese Frittata</a>, and <a href=""https://spoonacular.com/recipes/wild-garlic-and-goats-cheese-frittata-9549"">Wild Garlic And Goats Cheese Frittata</a> for similar recipes.",22,28.0,,
63329,63329,Blueberry-sour Cream Coffeecake,54,5.99,33.14,60.87,,8,https://spoonacular.com/recipeImages/63329-556x370.jpg,http://www.recipezaar.com/Blueberry-Sour-Cream-Coffeecake-167311,"Blueberry-sour Cream Coffeecake is a <b>vegetarian</b> morn meal. One portion of this dish contains about <b>3g of protein</b>, <b>9g of fat</b>, and a total of <b>235 calories</b>. For <b>59 cents per serving</b>, this recipe <b>covers 5%</b> of your daily requirements of vitamins and minerals. This recipe serves 8. From preparation to the plate, this recipe takes roughly <b>54 minutes</b>. 1 person has made this recipe and would make it again. It is brought to you by Recipezaar. Head to the store and pick up vanilla, nutmeg, egg, and a few other things to make it today. With a spoonacular <b>score of 24%</b>, this dish is not so great. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/sour-cream-coffeecake-617884"">Sour Cream Coffeecake</a>, <a href=""https://spoonacular.com/recipes/sour-cream-coffeecake-471877"">Sour Cream Coffeecake</a>, and <a href=""https://spoonacular.com/recipes/sour-cream-coffeecake-muffins-63194"">Sour Cream Coffeecake Muffins</a>.",0,21.0,[],
70770,70770,Almond Cherry Mini Tarts,47,6.68,56.76,36.56,,3,https://spoonacular.com/recipeImages/70770-556x370.jpg,http://thewellseasonedcook.blogspot.com/2007/02/finessing-queen-almond-cherry-tarts.html,"Almond Cherry Mini Tarts might be just the dessert you are searching for. This recipe serves 3 and costs 83 cents per serving. One serving contains <b>891 calories</b>, <b>15g of protein</b>, and <b>56g of fat</b>. It is a good option if you're following a <b>vegetarian</b> diet. 1 person were impressed by this recipe. A mixture of all purpose flour) cup all purpose flour), vegetable shortening, almond paste, and a handful of other ingredients are all it takes to make this recipe so flavorful. From preparation to the plate, this recipe takes around <b>47 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 49%</b>. This score is good. Try <a href=""https://spoonacular.com/recipes/rum-raspberry-almond-mini-tarts-562616"">Rum Raspberry-Almond Mini Tarts</a>, <a href=""https://spoonacular.com/recipes/cherry-almond-tarts-222034"">Cherry & almond tarts</a>, and <a href=""https://spoonacular.com/recipes/gluten-free-mini-cherry-limeade-tarts-560635"">Gluten Free Mini Cherry Limeade Tarts</a> for similar recipes.",0,45.0,,
53800,53800,Coconut Mango Oat Muffins,45,6.57,53.44,39.99,,10,https://spoonacular.com/recipeImages/53800-556x370.jpg,http://www.thekitchn.com/bright-morning-recipe-coconut-mango-oat-muffins-168396,"Coconut Mango Oat Muffins might be just the morn meal you are searching for. This recipe serves 10. One serving contains <b>278 calories</b>, <b>5g of protein</b>, and <b>17g of fat</b>. For <b>$1.01 per serving</b>, this recipe <b>covers 8%</b> of your daily requirements of vitamins and minerals. 159 people found this recipe to be flavorful and satisfying. From preparation to the plate, this recipe takes around <b>45 minutes</b>. Head to the store and pick up wide-flake coconut, coconut, flour, and a few other things to make it today. It is a good option if you're following a <b>vegetarian</b> diet. With a spoonacular <b>score of 44%</b>, this dish is solid. Similar recipes include <a href=""https://spoonacular.com/recipes/coconut-mango-muffins-885197"">Coconut Mango Muffins</a>, <a href=""https://spoonacular.com/recipes/mango-coconut-muffins-54139"">Mango Coconut Muffins</a>, and <a href=""https://spoonacular.com/recipes/mango-coconut-crumble-muffins-vegan-585100"">Mango Coconut Crumble Muffins (Vegan)</a>.",159,40.0,,
89263,89263,Tuna Macaroni Salad,45,14.64,41.12,44.24,,6,https://spoonacular.com/recipeImages/89263-556x370.png,http://allrecipes.com/Recipe/tuna-macaroni-salad-2/detail.aspx,"Tuna Macaroni Salad might be just the main course you are searching for. This recipe makes 6 servings with <b>742 calories</b>, <b>30g of protein</b>, and <b>35g of fat</b> each. For <b>$1.3 per serving</b>, this recipe <b>covers 31%</b> of your daily requirements of vitamins and minerals. Not a lot of people made this recipe, and 1 would say it hit the spot. A mixture of peas, tuna, dressing mix, and a handful of other ingredients are all it takes to make this recipe so yummy. It is brought to you by Allrecipes. It is a good option if you're following a <b>pescatarian</b> diet. With a spoonacular <b>score of 73%</b>, this dish is solid. Similar recipes include <a href=""https://spoonacular.com/recipes/tuna-macaroni-salad-245113"">Tuna Macaroni Salad</a>, <a href=""https://spoonacular.com/recipes/tuna-macaroni-salad-89838"">Tuna-Macaroni Salad</a>, and <a href=""https://spoonacular.com/recipes/tuna-macaroni-salad-89837"">Tuna Macaroni Salad</a>.",0,67.0,[],"No one wine will suit every pasta dish. Pasta in a tomato-based sauce will usually work well with a medium-bodied red, such as a montepulciano or chianti. Pasta with seafood or pesto will fare better with a light-bodied white, such as a pinot grigio. Cheese-heavy pasta can pair well with red or white - you might try a sangiovese wine for hard cheeses and a chardonnay for soft cheeses. We may be able to make a better recommendation if you ask again with a specific pasta dish."
161741,161741,Strawberries and Cream Poke Cake,95,6.73,27.9,65.37,,15,https://spoonacular.com/recipeImages/161741-556x370.jpg,http://www.BettyCrocker.com/recipes/strawberries-n-cream-cake/1f5684ab-7bf4-42f7-9db5-0d94f170218b,"You can never have too many dessert recipes, so give Strawberries and Cream Poke Cake a try. This recipe serves 15. One serving contains <b>277 calories</b>, <b>4g of protein</b>, and <b>8g of fat</b>. For <b>87 cents per serving</b>, this recipe <b>covers 6%</b> of your daily requirements of vitamins and minerals. 1 person has made this recipe and would make it again. Head to the store and pick up strawberry syrup, strawberry jam, strawberries, and a few other things to make it today. From preparation to the plate, this recipe takes approximately <b>1 hour and 35 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 19%</b>. This score is not so amazing. Try <a href=""https://spoonacular.com/recipes/cannoli-cream-poke-cake-880131"">Cannoli Cream Poke Cake</a>, <a href=""https://spoonacular.com/recipes/coconut-cream-poke-cake-877127"">Coconut Cream Poke Cake</a>, and <a href=""https://spoonacular.com/recipes/cream-of-coconut-poke-cake-101320"">Cream of Coconut Poke Cake</a> for similar recipes.",0,18.0,,
17441,17441,Apple Turkey Brats,45,68.23,15.01,16.76,,1,https://spoonacular.com/recipeImages/17441-556x370.jpg,http://www.cheekykitchen.com/2008/12/apple-turkey-brats.html,"Apple Turkey Brats might be just the main course you are searching for. This recipe serves 1. For <b>$8.66 per serving</b>, this recipe <b>covers 37%</b> of your daily requirements of vitamins and minerals. Watching your figure? This caveman, gluten free, dairy free, and primal recipe has <b>645 calories</b>, <b>112g of protein</b>, and <b>11g of fat</b> per serving. 1 person found this recipe to be yummy and satisfying. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. A mixture of apple, fennel seed, egg white, and a handful of other ingredients are all it takes to make this recipe so tasty. To use up the apple you could follow this main course with the <a href=""https://spoonacular.com/recipes/apple-party-from-the-vault-apple-craisin-bread-pudding-515137"">Apple Party! From the Vault – Apple Craisin Bread Pudding</a> as a dessert. With a spoonacular <b>score of 76%</b>, this dish is solid. Try <a href=""https://spoonacular.com/recipes/turkey-brats-with-slaw-412850"">Turkey Brats with Slaw</a>, <a href=""https://spoonacular.com/recipes/pan-fried-brats-with-parsley-spaetzle-and-mustard-bacon-and-apple-sauce-157939"">Pan-Fried Brats With Parsley Spaetzle and Mustard, Bacon, and Apple Sauce</a>, and <a href=""https://spoonacular.com/recipes/brats-for-you-or-two-99970"">Brats for You or Two</a> for similar recipes.",0,74.0,,
110725,110725,Chicken Divan,45,37.53,43.31,19.16,,6,https://spoonacular.com/recipeImages/110725-556x370.jpg,http://www.food.com/recipe/chicken-divan-22336,"You can never have too many main course recipes, so give Chicken Divan a try. One portion of this dish contains about <b>30g of protein</b>, <b>20g of fat</b>, and a total of <b>382 calories</b>. This recipe serves 6. For <b>$2.08 per serving</b>, this recipe <b>covers 31%</b> of your daily requirements of vitamins and minerals. Head to the store and pick up flour, parmesan cheese, chicken broth, and a few other things to make it today. To use up the flour you could follow this main course with the <a href=""https://spoonacular.com/recipes/apple-tart-with-caramel-sauce-47961"">Apple Tart with Caramel Sauce</a> as a dessert. 1 person has made this recipe and would make it again. From preparation to the plate, this recipe takes around <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 74%</b>. This score is solid. Try <a href=""https://spoonacular.com/recipes/chicken-divan-or-turkey-divan-110344"">Chicken Divan (Or Turkey Divan)</a>, <a href=""https://spoonacular.com/recipes/chicken-divan-for-two-109292"">Chicken Divan for Two</a>, and <a href=""https://spoonacular.com/recipes/chicken-divan-526732"">Chicken Divan</a> for similar recipes.",1,77.0,,
157535,157535,"Rhubarb, Ginger and Quark Strudel",55,16.13,36.99,46.88,,11,https://spoonacular.com/recipeImages/157535-556x370.jpg,http://www.whatsforlunchhoney.net/2013/04/rhubarb-ginger-and-quark-strudel.html,"You can never have too many dessert recipes, so give Rhubarb, Ginger and Quark Strudel a try. This recipe makes 11 servings with <b>231 calories</b>, <b>9g of protein</b>, and <b>10g of fat</b> each. For <b>$1.25 per serving</b>, this recipe <b>covers 5%</b> of your daily requirements of vitamins and minerals. Not a lot of people made this recipe, and 1 would say it hit the spot. It is perfect for <b>Mother's Day</b>. From preparation to the plate, this recipe takes around <b>55 minutes</b>. Head to the store and pick up quark, rhubarb, handful of flour, and a few other things to make it today. It is a good option if you're following a <b>vegetarian</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 16%</b>. This score is rather bad. Try <a href=""https://spoonacular.com/recipes/quark-custard-strudel-134276"">Quark Custard Strudel</a>, <a href=""https://spoonacular.com/recipes/strawberry-rhubarb-strudel-69535"">Strawberry-rhubarb Strudel</a>, and <a href=""https://spoonacular.com/recipes/rhubarb-cheese-strudel-with-vanilla-sauce-69417"">Rhubarb-Cheese Strudel with Vanilla Sauce</a> for similar recipes.",0,13.0,,
