,My ID,id,title,readyInMinutes,nutrition>caloricBreakdown>percentProtein,nutrition>caloricBreakdown>percentFat,nutrition>caloricBreakdown>percentCarbs,servings,image,sourceUrl,summary,aggregateLikes,winePairing>pairedWines,winePairing>pairingText
0,19655,19655,Cheddar And Spinach Souffle,45,18.34,57.87,23.79,4,https://spoonacular.com/recipeImages/19655-556x370.jpg,http://www.runningwithtweezers.com/hay_hay_guess_w/,"Cheddar And Spinach Souffle might be just the main course you are searching for. For <b>$1.56 per serving</b>, this recipe <b>covers 31%</b> of your daily requirements of vitamins and minerals. This recipe serves 4. One serving contains <b>416 calories</b>, <b>19g of protein</b>, and <b>27g of fat</b>. 1 person has tried and liked this recipe. From preparation to the plate, this recipe takes around <b>45 minutes</b>. A mixture of milk, aged cheddar cheese, spinach leaves, and a handful of other ingredients are all it takes to make this recipe so flavorful. To use up the sea-salt you could follow this main course with the <a href=""https://spoonacular.com/recipes/raspberry-sea-salt-brownies-494161"">Raspberry Sea Salt Brownies</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 66%</b>. This score is good. Similar recipes are <a href=""https://spoonacular.com/recipes/spinach-and-cheddar-souffle-346533"">Spinach and Cheddar Souffle</a>, <a href=""https://spoonacular.com/recipes/cheddar-souffle-430923"">Cheddar Souffle</a>, and <a href=""https://spoonacular.com/recipes/brie-and-cheddar-souffle-133284"">Brie and Cheddar Souffle'</a>.",0,,
1,174717,174717,Homemade Turkey Soup,175,57.8,33.61,8.59,10,https://spoonacular.com/recipeImages/174717-556x370.jpg,http://www.BettyCrocker.com/recipes/homemade-turkey-soup/4fdb9be4-b375-4d3e-960a-f83c46a160ce,"Homemade Turkey Soup might be just the main course you are searching for. One portion of this dish contains roughly <b>78g of protein</b>, <b>20g of fat</b>, and a total of <b>548 calories</b>. This recipe serves 10 and costs $1.47 per serving. It is brought to you by BettyCrocker.com. 1 person found this recipe to be tasty and satisfying. It is a good option if you're following a <b>dairy free</b> diet. <b>Autumn</b> will be even more special with this recipe. From preparation to the plate, this recipe takes about <b>2 hours and 55 minutes</b>. Head to the store and pick up parsley, celery, cut-up turkey, and a few other things to make it today. To use up the water you could follow this main course with the <a href=""https://spoonacular.com/recipes/watermelon-peach-slushies-507207"">Watermelon-Peach Slushies</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 74%</b>. This score is solid. Try <a href=""https://spoonacular.com/recipes/homemade-lemony-turkey-stock-and-jalapeno-turkey-noodle-soup-522148"">Homemade Lemony Turkey Stock and Jalapeno Turkey Noodle Soup</a>, <a href=""https://spoonacular.com/recipes/homemade-turkey-soup-474461"">Homemade Turkey Soup</a>, and <a href=""https://spoonacular.com/recipes/homemade-turkey-soup-162421"">Homemade Turkey Soup</a> for similar recipes.",0,,
2,159899,159899,Homemade Marshmallow Crème,30,2.47,0.35,97.18,10,https://spoonacular.com/recipeImages/159899-556x370.jpg,http://www.chow.com/recipes/30296-homemade-marshmallow-creme,"You can never have too many side dish recipes, so give Homemade Marshmallow Crème a try. This recipe serves 10 and costs 23 cents per serving. One portion of this dish contains roughly <b>1g of protein</b>, <b>0g of fat</b>, and a total of <b>111 calories</b>. Not a lot of people made this recipe, and 1 would say it hit the spot. If you have granulated sugar, cream of tartar, vanillan extract, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes approximately <b>30 minutes</b>. It is a good option if you're following a <b>gluten free, dairy free, and vegetarian</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 7%</b>. This score is improvable. Similar recipes include <a href=""https://spoonacular.com/recipes/homemade-marshmallow-creme-543573"">Homemade Marshmallow Creme</a>, <a href=""https://spoonacular.com/recipes/homemade-marshmallow-creme-516614"">Homemade Marshmallow Creme</a>, and <a href=""https://spoonacular.com/recipes/homemade-marshmallow-creme-507758"">Homemade Marshmallow Creme</a>.",0,,
3,142656,142656,Coleslaw with a Difference!,10,2.99,84.72,12.29,4,https://spoonacular.com/recipeImages/142656-556x370.png,http://allrecipes.com/Recipe/Coleslaw-with-a-Difference/Detail.aspx,"Coleslaw with a Difference! is a <b>gluten free, dairy free, fodmap friendly, and whole 30</b> recipe with 4 servings. This side dish has <b>291 calories</b>, <b>2g of protein</b>, and <b>28g of fat</b> per serving. For <b>95 cents per serving</b>, this recipe <b>covers 11%</b> of your daily requirements of vitamins and minerals. From preparation to the plate, this recipe takes around <b>10 minutes</b>. 1 person found this recipe to be delicious and satisfying. It will be a hit at your <b>The Fourth Of July</b> event. A mixture of salsa, lemon juice, olive oil, and a handful of other ingredients are all it takes to make this recipe so delicious. It is brought to you by Allrecipes. Taking all factors into account, this recipe <b>earns a spoonacular score of 41%</b>, which is solid. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/bake-a-difference-w-oxo-495604"">Bake a Difference w/ OXO</a>, <a href=""https://spoonacular.com/recipes/bolognese-with-a-difference-214975"">Bolognese with a difference</a>, and <a href=""https://spoonacular.com/recipes/the-difference-between-panettone-and-65942"">The Difference Between Panettone and…</a>.",0,,
4,33331,33331,Spring Vegetable Fricassee With Saffron Cream,45,6.66,70.32,23.02,4,https://spoonacular.com/recipeImages/33331-556x370.jpg,http://www.bonappetit.com/recipes/2006/04/spring_vegetable_fricasse_with_saffron_cream,"This gluten free, primal, and vegetarian recipe serves 4 and costs <b>$3.62 per serving</b>. One portion of this dish contains around <b>7g of protein</b>, <b>33g of fat</b>, and a total of <b>437 calories</b>. It is perfect for <b>Spring</b>. Head to the store and pick up peas or, thyme, baby spinach leaves, and a few other things to make it today. 1 person has made this recipe and would make it again. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 69%</b>. This score is good. Try <a href=""https://spoonacular.com/recipes/spring-chicken-fricassee-with-peas-240809"">Spring Chicken Fricassee With Peas</a>, <a href=""https://spoonacular.com/recipes/peppered-pork-chops-with-vegetable-fricassee-36725"">Peppered Pork Chops with Vegetable Fricassee</a>, and <a href=""https://spoonacular.com/recipes/smoked-haddock-spring-onion-saffron-tart-225504"">Smoked haddock, spring onion & saffron tart</a> for similar recipes.",1,,
5,197136,197136,Crispy Crab Cakes with Mango-Pineapple Salsa,38,23.39,60.95,15.66,8,https://spoonacular.com/recipeImages/197136-556x370.jpg,http://www.myrecipes.com/recipe/crispy-crab-cakes-50400000126104/,"Need a <b>pescatarian hor d'oeuvre</b>? Crispy Crab Cakes with Mango-Pineapple Salsa could be a super recipe to try. For <b>$2.47 per serving</b>, this recipe <b>covers 14%</b> of your daily requirements of vitamins and minerals. This recipe serves 8. One portion of this dish contains approximately <b>13g of protein</b>, <b>15g of fat</b>, and a total of <b>231 calories</b>. 1 person has made this recipe and would make it again. From preparation to the plate, this recipe takes around <b>38 minutes</b>. A mixture of olive oil, dijon mustard, lump crab, and a handful of other ingredients are all it takes to make this recipe so delicious. To use up the salsa you could follow this main course with the <a href=""https://spoonacular.com/recipes/dessert-strawberry-salsa-553911"">Dessert Strawberry Salsa</a> as a dessert. This recipe is typical of Mexican cuisine. All things considered, we decided this recipe <b>deserves a spoonacular score of 42%</b>. This score is solid. Try <a href=""https://spoonacular.com/recipes/mini-crab-cakes-with-pineapple-cucumber-salsa-205918"">Mini Crab Cakes with Pineapple-Cucumber Salsa</a>, <a href=""https://spoonacular.com/recipes/green-onion-crab-cakes-with-pineapple-salsa-133349"">Green Onion Crab Cakes With Pineapple Salsa</a>, and <a href=""https://spoonacular.com/recipes/coconut-shrimp-cakes-with-mango-pineapple-salsa-631236"">Coconut Shrimp Cakes with Mango Pineapple Salsa</a> for similar recipes.",0,"['chardonnay', 'muscadet', 'riesling']","Shellfish works really well with Chardonnay, Muscadet, and Riesling. Buttery chardonnay is great for scallops, shrimp, crab, and lobster, while muscadet is a classic pick for mussels, oysters, and clams. If you've got some spice in your shellfish, a semi-dry riesling can balance out the heat. You could try Chateau Ste. Michelle Indian Wells Chardonnay Wine. Reviewers quite like it with a 5 out of 5 star rating and a price of about 18 dollars per bottle."
6,35726,35726,Beef Skewers With Peanut Dipping Sauce,75,29.2,62.01,8.79,16,https://spoonacular.com/recipeImages/35726-556x370.jpg,http://www.marthastewart.com/339281/beef-skewers-with-peanut-dipping-sauce,"Beef Skewers With Peanut Dipping Sauce might be just the hor d'oeuvre you are searching for. One portion of this dish contains roughly <b>184g of protein</b>, <b>131g of fat</b>, and a total of <b>1925 calories</b>. This recipe serves 16 and costs $20.24 per serving. 11 person were glad they tried this recipe. It is a good option if you're following a <b>gluten free and dairy free</b> diet. It is perfect for <b>The Super Bowl</b>. A mixture of smooth peanut butter, soy sauce, ground cumin, and a handful of other ingredients are all it takes to make this recipe so yummy. From preparation to the plate, this recipe takes around <b>1 hour and 15 minutes</b>. With a spoonacular <b>score of 84%</b>, this dish is great. Try <a href=""https://spoonacular.com/recipes/beef-satay-skewers-with-peanut-dipping-sauce-710628"">Beef Satay Skewers with Peanut Dipping Sauce</a>, <a href=""https://spoonacular.com/recipes/grilled-cilantro-lime-beef-skewers-with-jalapeo-avocado-dipping-sauce-920462"">Grilled Cilantro Lime Beef Skewers with Jalapeño Avocado Dipping Sauce</a>, and <a href=""https://spoonacular.com/recipes/beef-sate-with-peanut-dipping-sauce-35740"">Beef Sate with Peanut Dipping Sauce</a> for similar recipes.",11,,
7,1370,1370,Sole With Orange Brown Butter,15,17.21,79.32,3.47,4,https://spoonacular.com/recipeImages/1370-556x370.jpg,http://www.epicurious.com/recipes/food/views/Sole-with-Orange-Brown-Butter-239758,"Sole With Orange Brown Butter might be just the main course you are searching for. Watching your figure? This gluten free and pescatarian recipe has <b>333 calories</b>, <b>15g of protein</b>, and <b>30g of fat</b> per serving. This recipe serves 4. For <b>$2.58 per serving</b>, this recipe <b>covers 9%</b> of your daily requirements of vitamins and minerals. 7 people have made this recipe and would make it again. Head to the store and pick up shallot, lemon juice, butter, and a few other things to make it today. To use up the vegetable oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/blueberry-coffee-cake-sundaysupper-511062"">Blueberry Coffee Cake #SundaySupper</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 35%</b>. This score is rather bad. Similar recipes are <a href=""https://spoonacular.com/recipes/sole-piccata-with-brown-butter-grapes-1877"">Sole Piccata With Brown Butter & Grapes</a>, <a href=""https://spoonacular.com/recipes/sole-with-brown-butter-beets-and-capers-195194"">Sole with Brown Butter, Beets, and Capers</a>, and <a href=""https://spoonacular.com/recipes/brown-butter-sole-with-peas-mussels-225812"">Brown butter sole with peas & mussels</a>.",7,"['pinot grigio', 'gruener veltliner', 'pinot noir']","Fish works really well with Pinot Grigio, Gruener Veltliner, and Pinot Noir. Fish is as diverse as wine, so it's hard to pick wines that go with every fish. A crisp white wine, such as a pinot grigio or Grüner Veltliner, will suit any delicately flavored white fish. Meaty, strongly flavored fish such as salmon and tuna can even handle a light red wine, such as a pinot noir. You could try Duck Pond Pinot Gris. Reviewers quite like it with a 4.2 out of 5 star rating and a price of about 11 dollars per bottle."
8,120665,120665,German-Style Crisp Potato Pancakes,25,17.83,44.16,38.01,3,https://spoonacular.com/recipeImages/120665-556x370.jpg,http://www.food.com/recipe/german-style-crisp-potato-pancakes-125305,"German-Style Crisp Potato Pancakes might be just the side dish you are searching for. One serving contains <b>229 calories</b>, <b>10g of protein</b>, and <b>4g of fat</b>. This vegetarian recipe serves 3 and costs <b>92 cents per serving</b>. This recipe is typical of Jewish cuisine. It will be a hit at your <b>Hanukkah</b> event. 11 person have made this recipe and would make it again. A mixture of parsley, potatoes, onion, and a handful of other ingredients are all it takes to make this recipe so yummy. From preparation to the plate, this recipe takes around <b>25 minutes</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 82%</b>. This score is great. Similar recipes are <a href=""https://spoonacular.com/recipes/nutella-banana-pancakes-german-style-157514"">Nutella Banana Pancakes German Style</a>, <a href=""https://spoonacular.com/recipes/german-potato-pancakes-121188"">German Potato Pancakes</a>, and <a href=""https://spoonacular.com/recipes/german-style-potato-salad-367263"">German-Style Potato Salad</a>.",11,[],
9,71426,71426,Chicken Pot Pie With Herbed Drop Biscuits,45,11.62,33.24,55.14,3,https://spoonacular.com/recipeImages/71426-556x370.jpg,http://joyof.kosher.com/recipe/chicken-pot-pie-with-herbed-drop-biscuits/,"Chicken Pot Pie With Herbed Drop Biscuits might be just the main course you are searching for. For <b>$1.9 per serving</b>, this recipe <b>covers 44%</b> of your daily requirements of vitamins and minerals. Watching your figure? This dairy free recipe has <b>728 calories</b>, <b>22g of protein</b>, and <b>24g of fat</b> per serving. This recipe serves 3. 1 person were impressed by this recipe. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. If you have potatoes, soy milk, pepper, and a few other ingredients on hand, you can make it. To use up the canolan oil you could follow this main course with the <a href=""https://spoonacular.com/recipes/cherry-apricot-turnovers-48799"">Cherry-Apricot Turnovers</a> as a dessert. All things considered, we decided this recipe <b>deserves a spoonacular score of 82%</b>. This score is tremendous. Try <a href=""https://spoonacular.com/recipes/instant-pot-chicken-pot-pie-soup-916463"">Instant Pot Chicken Pot Pie Soup</a>, <a href=""https://spoonacular.com/recipes/chicken-pot-pie-pockets-908274"">Chicken Pot Pie Pockets</a>, and <a href=""https://spoonacular.com/recipes/homemade-chicken-pot-pie-soup-922614"">Homemade Chicken Pot Pie Soup</a> for similar recipes.",0,,
